"time","Pack Voltage"
"1.02","306.8"
"2.019","307"
"3.018","307"
"4.017","306.8"
"6.015","306.8"
"7.014","307"
"10.011","307"
"11.01","306.8"
"12.009","306.8"
"13.008","307"
"16.032","307"
"16.545","301.7"
"17.058","301.3"
"17.571","301.3"
"18.084","301"
"18.597","301"
"19.11","300.8"
"20.136","300.8"
"20.649","300.6"
"21.162","300.6"
"21.675","300.4"
"23.214","300.4"
"23.727","300.1"
"24.753","300.1"
"25.266","300"
"26.805","300"
"27.318","299.7"
"28.857","299.7"
"29.37","299.5"
"29.883","299.7"
"30.396","299.5"
"31.935","299.5"
"32.448","299.3"
"35.013","299.3"
"35.526","299.1"
"39.117","299.1"
"39.63","298.8"
"42.195","298.8"
"42.708","298.6"
"48.351","298.6"
"48.864","298.4"
"51.429","298.4"
"51.942","298.2"
"52.455","298.4"
"52.968","298.2"
"58.098","298.2"
"58.611","298"
"59.124","298.2"
"59.637","298"
"60.15","298.2"
"60.663","298"
"66.306","298"
"66.819","297.7"
"67.33199999999999","298"
"67.845","297.7"
"74.514","297.7"
"75.027","297.5"
"75.54000000000001","297.7"
"76.053","297.5"
"76.566","297.5"
"77.07899999999999","297.7"
"77.592","297.5"
"80.67","297.5"
"81.18300000000001","297.3"
"95.03400000000001","297.3"
"95.547","297.1"
"96.06","297.3"
"96.57299999999999","297.1"
"104.781","297.1"
"105.294","296.8"
"105.807","296.8"
"106.32","297.1"
"106.833","296.8"
"107.346","296.8"
"107.859","297.1"
"108.372","296.8"
"108.885","297.1"
"109.398","296.8"
"115.041","296.8"
"115.554","296.6"
"116.067","296.8"
"119.145","296.8"
"119.658","296.6"
"128.379","296.6"
"128.892","296.4"
"129.405","296.6"
"129.918","296.6"
"130.431","296.4"
"130.944","296.6"
"131.457","296.4"
"142.743","296.4"
"143.256","296.2"
"143.769","296.4"
"144.282","296.2"
"144.795","296.2"
"145.308","296.4"
"145.821","296.2"
"146.334","296.4"
"146.847","296.2"
"154.542","296.2"
"155.055","296"
"155.568","296.2"
"156.081","296"
"156.594","296.2"
"157.107","296.2"
"157.62","296"
"158.133","296.2"
"158.646","296"
"171.984","296"
"172.497","295.8"
"174.549","295.8"
"175.062","296"
"175.575","295.8"
"180.705","295.8"
"181.218","295.5"
"181.731","295.8"
"182.244","295.5"
"183.27","295.5"
"183.783","295.8"
"184.296","295.5"
"186.348","295.5"
"186.861","295.8"
"187.374","295.5"
"195.582","295.5"
"196.095","295.3"
"196.608","295.5"
"198.66","295.5"
"199.173","295.3"
"200.712","295.3"
"201.225","295.5"
"201.738","295.5"
"202.251","295.3"
"202.764","295.5"
"203.277","295.3"
"208.92","295.3"
"209.433","295.1"
"209.946","295.3"
"210.459","295.1"
"210.972","295.3"
"211.485","295.3"
"211.998","295.1"
"212.511","295.3"
"213.024","295.1"
"213.537","295.3"
"214.05","295.1"
"226.362","295.1"
"226.875","294.9"
"227.388","295.1"
"227.901","295.1"
"228.414","294.9"
"238.161","294.9"
"238.674","294.6"
"239.187","294.9"
"239.7","294.9"
"240.213","294.6"
"254.064","294.6"
"254.577","294.5"
"255.09","294.6"
"255.603","294.5"
"265.35","294.5"
"265.863","294.2"
"266.376","294.2"
"266.889","294.5"
"267.402","294.2"
"267.915","294.5"
"268.428","294.2"
"268.941","294.5"
"269.454","294.5"
"269.967","294.2"
"270.48","294.5"
"270.993","294.2"
"280.232","294.2"
"280.745","294"
"281.258","294"
"281.771","294.2"
"282.284","294"
"290.492","294"
"291.005","293.8"
"291.518","294"
"292.031","294"
"292.544","293.8"
"293.057","294"
"293.57","294"
"294.083","293.8"
"307.934","293.8"
"308.447","293.5"
"308.96","293.8"
"309.473","293.5"
"309.986","293.8"
"310.499","293.5"
"311.012","293.5"
